STATE/UT,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Kerala,2001,3199,2935,2972,2912,2887,2829,2845,3012,3060,3048,3247,3493,36439
Kerala,2002,3072,2739,2643,3096,3113,2754,2731,2688,2835,2897,2908,3058,34534
Kerala,2003,2894,2485,2495,2570,2614,2526,2534,2569,2612,2852,2799,2997,31947
Kerala,2004,3661,3393,3477,3411,3239,3306,3164,3334,3399,3532,3425,3762,41103
Kerala,2005,3862,3422,3667,3565,3873,3407,3138,3501,3108,3505,3605,3710,42363
Kerala,2006,3875,3387,3718,3345,3617,3218,3131,3396,3372,3422,3505,3661,41647
Kerala,2007,3758,3451,3518,3461,3648,3170,2835,3121,2936,3215,3231,3573,39917
Kerala,2008,3430,3177,3124,3206,3207,2912,2909,2887,3078,3093,3035,3205,37263
Kerala,2009,3148,2933,3081,2880,3128,2959,2737,2862,2698,2898,2950,3159,35433
Kerala,2010,3219,2966,3175,3068,3155,2740,2634,2751,2854,2610,2896,3014,35082
Kerala,2011,3146,2929,3122,2805,3144,2767,2688,2787,2844,2976,2882,3126,35216
Kerala,2012,3262,3039,2960,2942,3159,2866,2848,2929,3025,2960,2991,3193,36174
Kerala,2013,3251,3023,3090,3113,3231,2712,2595,2772,2788,2728,2789,3123,35215
Kerala,2014,3360,2926,3039,2836,3189,2837,2878,2959,2937,2946,3004,3371,36282
Kerala,2015,3670,3306,3304,3191,3354,3078,3113,3185,3195,3227,3024,3367,39014
Kerala,2016,3688,3384,3321,3223,3385,3160,3179,3220,3267,3211,3095,3287,39420
Kerala,2017,3430,3157,3167,3175,3480,2918,3028,3143,3169,3125,3308,3370,38470
Kerala,2018,3655,3433,3448,3326,3592,3200,3045,2918,3278,3302,3449,3535,40181
Kerala,2019,3886,3674,3466,3335,3782,3335,3239,2925,3109,3344,3451,3565,41111
